Date,P(mm),Temp (C),Q(m3/s)
01.01.1980,1.11,-5.80,35
02.01.1980,5.33,-6.40,34
03.01.1980,2.81,-6.90,34
04.01.1980,0.08,-6.40,34
05.01.1980,0.00,-8.60,33
06.01.1980,0.00,-9.00,33
07.01.1980,0.00,-9.20,33
08.01.1980,0.00,-10.30,32
09.01.1980,0.68,-9.60,32
10.01.1980,0.00,-9.50,32
11.01.1980,0.83,-11.50,32
12.01.1980,0.00,-10.20,31
13.01.1980,4.10,-8.00,31
14.01.1980,0.00,-1.20,31
15.01.1980,0.56,-8.50,30
16.01.1980,0.00,-17.70,30
17.01.1980,1.88,-15.60,29
18.01.1980,0.54,-4.90,29
19.01.1980,0.00,-12.50,29
20.01.1980,0.00,-12.10,28
21.01.1980,0.00,-3.50,28
22.01.1980,0.00,-11.90,27
23.01.1980,0.62,-15.40,27
24.01.1980,0.00,-22.80,27
25.01.1980,0.00,-25.20,27
26.01.1980,0.00,-27.50,26
27.01.1980,0.00,-26.00,25
28.01.1980,0.00,-23.40,25
29.01.1980,0.76,-14.70,25
30.01.1980,0.00,-21.30,24
31.01.1980,0.00,-30.90,24
01.02.1980,0.00,-29.50,24
02.02.1980,0.00,-23.50,23
03.02.1980,1.59,-12.50,22
04.02.1980,0.41,-9.50,22
05.02.1980,0.42,-13.40,22
06.02.1980,0.00,-19.10,22
07.02.1980,0.82,-18.30,22
08.02.1980,0.00,-19.10,21
09.02.1980,0.00,-20.70,21
10.02.1980,0.00,-21.70,21
11.02.1980,0.00,-24.40,21
12.02.1980,1.22,-20.10,20
13.02.1980,1.00,-15.30,20
14.02.1980,1.26,-10.40,20
15.02.1980,12.00,-3.70,20
16.02.1980,1.81,-4.80,20
17.02.1980,0.00,-15.30,20
18.02.1980,0.24,-15.20,20
19.02.1980,0.00,-5.00,19.8
20.02.1980,0.00,-4.70,19.8
21.02.1980,0.00,-6.00,19.8
22.02.1980,0.00,-8.20,19.4
23.02.1980,0.00,-8.20,19.4
24.02.1980,0.00,-6.70,19
25.02.1980,0.00,-9.70,19
26.02.1980,0.00,-8.80,18.6
27.02.1980,0.00,-7.90,18.6
28.02.1980,2.43,-4.60,18.2
29.02.1980,1.96,-3.10,18.2
01.03.1980,3.11,-3.60,18.2
02.03.1980,1.74,-5.20,18.2
03.03.1980,2.67,-9.20,18.2
04.03.1980,0.00,-7.80,17.8
05.03.1980,0.62,-10.10,17.8
06.03.1980,1.91,-10.30,17.8
07.03.1980,0.00,-1.20,17.8
08.03.1980,0.00,-2.90,17.4
09.03.1980,0.00,-11.00,17.4
10.03.1980,0.03,-14.90,17.4
11.03.1980,0.00,-14.00,17
12.03.1980,0.00,-7.50,17
13.03.1980,0.00,-8.00,16.7
14.03.1980,0.00,-7.80,16.7
15.03.1980,0.11,-7.90,16.3
16.03.1980,0.08,-5.60,16.3
17.03.1980,0.00,-12.70,16
18.03.1980,0.00,-15.80,16
19.03.1980,0.00,-15.50,16
20.03.1980,0.00,-17.80,15.7
21.03.1980,0.00,-16.60,15.7
22.03.1980,0.00,-16.90,15.4
23.03.1980,0.00,-14.90,15.4
24.03.1980,0.00,-9.90,15
25.03.1980,0.00,-6.80,15
26.03.1980,0.00,-7.70,14.6
27.03.1980,0.55,-8.00,14.6
28.03.1980,0.61,-3.90,14.6
29.03.1980,0.00,-1.20,14.3
30.03.1980,0.00,1.20,14.3
31.03.1980,1.87,0.30,14.3
01.04.1980,0.79,1.00,14.3
02.04.1980,0.00,0.60,14.3
03.04.1980,0.00,-2.30,14.3
04.04.1980,0.00,-2.20,14
05.04.1980,0.00,1.50,13.7
06.04.1980,0.00,2.20,13.7
07.04.1980,0.00,2.70,13.7
08.04.1980,1.14,1.40,13.7
09.04.1980,1.42,1.60,13.7
10.04.1980,0.57,0.00,13.7
11.04.1980,0.00,-0.50,13.5
12.04.1980,0.00,-0.60,13.5
13.04.1980,0.00,-1.20,13.5
14.04.1980,0.00,-0.90,13.5
15.04.1980,0.00,-1.00,13.5
16.04.1980,0.00,3.00,13.2
17.04.1980,0.00,-0.10,13.2
18.04.1980,0.00,-0.10,13.2
19.04.1980,0.00,1.70,13.2
20.04.1980,3.28,-0.40,13.2
21.04.1980,0.89,1.00,13.2
22.04.1980,0.00,3.20,13.2
23.04.1980,0.00,4.30,13.5
24.04.1980,0.00,4.60,13.7
25.04.1980,8.31,1.80,14
26.04.1980,0.06,2.10,14.3
27.04.1980,0.80,4.20,14.6
28.04.1980,0.00,3.20,15.4
29.04.1980,6.24,3.10,16.3
30.04.1980,3.14,2.30,17.8
01.05.1980,0.06,0.70,18.6
02.05.1980,0.00,-1.10,20
03.05.1980,0.00,1.50,22
04.05.1980,0.00,5.30,31
05.05.1980,0.00,5.10,35
06.05.1980,0.00,4.10,41
07.05.1980,0.00,10.30,48
08.05.1980,4.03,10.00,55
09.05.1980,2.01,9.30,65
10.05.1980,4.74,2.50,76
11.05.1980,0.35,0.70,89
12.05.1980,0.27,0.40,102
